#step z1 z2 R-factor
0 0.0 0.0 0.025287
1 0.0 0.0 0.025287
2 0.0 0.0 0.025287
3 0.0 0.0 0.025287
4 0.0 0.0 0.025287
5 0.0 0.0 0.025287
6 0.0 0.0 0.025287
7 0.0 0.0 0.025287
8 -0.0020751953125 0.028076171875 0.010644
9 -0.0020751953125 0.028076171875 0.010644
10 0.00080108642578125 0.0332794189453125 0.008643
11 0.0012531280517578125 0.023487091064453125 0.006526
12 -0.0005240440368652344 0.028229713439941406 0.004406
13 -0.0005240440368652344 0.028229713439941406 0.004406
14 0.0004775524139404297 0.023410320281982422 0.00326
15 -4.762411117553711e-05 0.022128701210021973 0.00278
16 -0.00015453994274139404 0.025499612092971802 0.000897
17 -0.00015453994274139404 0.025499612092971802 0.000897
18 -0.00015453994274139404 0.025499612092971802 0.000897
19 7.58124515414238e-05 0.02492680959403515 0.000462
20 7.58124515414238e-05 0.02492680959403515 0.000462
21 -8.324318332597613e-05 0.025063568842597306 0.000367
22 4.427960084285587e-05 0.025328663032269105 0.000251
23 2.8165330149931833e-05 0.025061462765734177 0.000168
24 -2.351035891479114e-05 0.025129315870799473 0.000106
25 -2.351035891479114e-05 0.025129315870799473 0.000106
